Experiment,Model,Run,AS_Index,Line,Title,Matched_GT,Decision,Reason,Has_Representation_Evidence
ODD+game_stuff,DeepSeek-R1,run_01.md,1,3,Capacitor Adoption Assurance Game,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-R1,run_01.md,2,12,Transformer Capacity Volunteer's Dilemma,AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-R1,run_01.md,3,21,Mutual Exchange Coordination Game,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-R1,run_01.md,4,30,Authorization-Enforcement Asymmetric Game,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-R1,run_01.md,5,39,Groundwater Extraction Prisoner’s Dilemma,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-R1,run_02.md,1,1,1. Capacitor Adoption Assurance (Farmer-Farmer),AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-R1,run_03.md,1,5,Capacitor Adoption Assurance,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-R1,run_03.md,2,17,Transformer Authorization Dilemma,AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-R1,run_03.md,3,29,Staff-Farmer Mutual Exchange,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-R1,run_03.md,4,41,Formal vs Informal Access Coordination,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
