Experiment,Model,Run,TP,FN,FP,Precision,Recall,Case,Condition,Source,Run_Number
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,3,3,5,0.375,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,3,3,4,0.4286,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,2
ODD+game_stuff,DeepSeek-V4-Pro,run_03.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,3
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,4,2,4,0.5,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,4
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,2,4,6,0.25,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,5
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,4,2,2,0.6667,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,6
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,4,2,3,0.5714,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,7
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,4,2,3,0.5714,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,8
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,3,3,5,0.375,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,9
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,3,3,6,0.3333,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,10
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,5,1,5,0.5,0.8333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,11
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,4,2,4,0.5,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,12
ODD+game_stuff,DeepSeek-V4-Pro,run_13.md,3,3,5,0.375,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,13
ODD+game_stuff,DeepSeek-V4-Pro,run_14.md,3,3,3,0.5,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,14
ODD+game_stuff,DeepSeek-V4-Pro,run_15.md,2,4,5,0.2857,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,15
ODD+game_stuff,DeepSeek-V4-Pro,run_16.md,3,3,27,0.1,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,16
ODD+game_stuff,DeepSeek-V4-Pro,run_17.md,3,3,7,0.3,0.5,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,17
ODD+game_stuff,DeepSeek-V4-Pro,run_18.md,5,1,2,0.7143,0.8333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,18
ODD+game_stuff,DeepSeek-V4-Pro,run_19.md,2,4,3,0.4,0.3333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,19
ODD+game_stuff,DeepSeek-V4-Pro,run_20.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,20
ODD+game_stuff,DeepSeek-V4-Pro,run_21.md,1,5,8,0.1111,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,21
ODD+game_stuff,DeepSeek-V4-Pro,run_22.md,1,5,0,1.0,0.1667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,22
ODD+game_stuff,DeepSeek-V4-Pro,run_23.md,4,2,23,0.1481,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,23
ODD+game_stuff,DeepSeek-V4-Pro,run_24.md,4,2,3,0.5714,0.6667,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,24
ODD+game_stuff,DeepSeek-V4-Pro,run_25.md,5,1,5,0.5,0.8333,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_summary_ODD+game_stuff.csv,25
