Experiment,Model,Run,TP,FN,FP,Precision,Recall
ODD-only,DeepSeek-R1,run_01.md,1,1,0,1.0000,0.5000
ODD-only,DeepSeek-R1,run_02.md,1,1,1,0.5000,0.5000
ODD-only,DeepSeek-R1,run_03.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_04.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_05.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_06.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_07.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_08.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_09.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_10.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_11.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_12.md,1,1,0,1.0000,0.5000
ODD-only,DeepSeek-R1,run_13.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_14.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_15.md,1,1,1,0.5000,0.5000
ODD-only,DeepSeek-R1,run_16.md,1,1,1,0.5000,0.5000
ODD-only,DeepSeek-R1,run_17.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_18.md,1,1,1,0.5000,0.5000
ODD-only,DeepSeek-R1,run_19.md,1,1,1,0.5000,0.5000
ODD-only,DeepSeek-R1,run_20.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_21.md,1,1,0,1.0000,0.5000
ODD-only,DeepSeek-R1,run_22.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_23.md,1,1,1,0.5000,0.5000
ODD-only,DeepSeek-R1,run_24.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_25.md,2,0,0,1.0000,1.0000
ODD-only,DeepSeek-R1,run_26.md,1,1,1,0.5000,0.5000
ODD-only,DeepSeek-R1,run_27.md,1,1,1,0.5000,0.5000
ODD-only,DeepSeek-R1,run_28.md,1,1,0,1.0000,0.5000
ODD-only,DeepSeek-R1,run_29.md,1,1,0,1.0000,0.5000
ODD-only,DeepSeek-R1,run_30.md,1,1,1,0.5000,0.5000
ODD-only,DeepSeek-V4-Pro,run_01.md,0,2,1,0.0000,0.0000
ODD-only,DeepSeek-V4-Pro,run_02.md,0,2,1,0.0000,0.0000
ODD-only,DeepSeek-V4-Pro,run_03.md,1,1,0,1.0000,0.5000
ODD-only,DeepSeek-V4-Pro,run_04.md,1,1,0,1.0000,0.5000
ODD-only,DeepSeek-V4-Pro,run_05.md,2,0,3,0.4000,1.0000
ODD-only,DeepSeek-V4-Pro,run_06.md,0,2,1,0.0000,0.0000
ODD-only,DeepSeek-V4-Pro,run_07.md,1,1,0,1.0000,0.5000
ODD-only,DeepSeek-V4-Pro,run_08.md,0,2,1,0.0000,0.0000
ODD-only,DeepSeek-V4-Pro,run_09.md,1,1,0,1.0000,0.5000
ODD-only,DeepSeek-V4-Pro,run_10.md,1,1,0,1.0000,0.5000
ODD-only,DeepSeek-V4-Pro,run_11.md,0,2,1,0.0000,0.0000
ODD-only,DeepSeek-V4-Pro,run_12.md,2,0,2,0.5000,1.0000
