Case,Model,Delta_TP,Delta_FN,Delta_FP,Delta_Precision,Delta_Recall
EV-parking,DeepSeek-V4-Pro,24.0,-24.0,13.0,0.05006418485237485,0.13333333333333336
EV-parking,Llama-3.3-70B,18.0,-18.0,7.0,0.02867965367965364,0.09999999999999998
EV-parking,Qwen2.5-7B,39.0,-39.0,-48.0,0.22515965709682983,0.21666666666666667
Electricity,DeepSeek-R1,16.0,-16.0,-8.0,0.04644268774703564,0.0888888888888889
Electricity,DeepSeek-V4-Pro,27.0,-27.0,9.0,-0.08362528560548366,0.14999999999999997
Electricity,Llama-3.3-70B,-10.0,10.0,-1.0,0.004470742932281446,-0.05555555555555547
Electricity,Qwen2.5-7B,3.0,-3.0,51.0,-0.13688336136528467,0.01666666666666672
Water-use,DeepSeek-R1,3.0,-3.0,1.0,-0.005855161787365115,0.04999999999999993
Water-use,DeepSeek-V4-Pro,3.0,-3.0,1.0,0.029218843172331532,0.04999999999999999
Water-use,Llama-3.3-70B,-1.0,1.0,9.0,-0.04374201787994897,-0.016666666666666607
Water-use,Qwen2.5-7B,3.0,-3.0,-6.0,0.04559270516717323,0.050000000000000044
