Experiment,Model,Run,TP,FN,FP,Precision,Recall
ODD+game_stuff,DeepSeek-R1,run_01.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_02.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_03.md,6,0,4,0.6000,1.0000
ODD+game_stuff,DeepSeek-R1,run_04.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_05.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_06.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_07.md,1,5,0,1.0000,0.1667
ODD+game_stuff,DeepSeek-R1,run_08.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_09.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_10.md,6,0,2,0.7500,1.0000
ODD+game_stuff,DeepSeek-R1,run_11.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_12.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_13.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_14.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_15.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_16.md,6,0,4,0.6000,1.0000
ODD+game_stuff,DeepSeek-R1,run_17.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_18.md,6,0,2,0.7500,1.0000
ODD+game_stuff,DeepSeek-R1,run_19.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_20.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_21.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_22.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_23.md,6,0,4,0.6000,1.0000
ODD+game_stuff,DeepSeek-R1,run_24.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_25.md,6,0,4,0.6000,1.0000
ODD+game_stuff,DeepSeek-R1,run_26.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_27.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_28.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_29.md,6,0,0,1.0000,1.0000
ODD+game_stuff,DeepSeek-R1,run_30.md,6,0,1,0.8571,1.0000
ODD+game_stuff,Llama-3.3-70B,run_01.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_02.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_03.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_04.md,6,0,1,0.8571,1.0000
ODD+game_stuff,Llama-3.3-70B,run_05.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_06.md,5,1,0,1.0000,0.8333
ODD+game_stuff,Llama-3.3-70B,run_07.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_08.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_09.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_10.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_11.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_12.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_13.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_14.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_15.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_16.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_17.md,5,1,0,1.0000,0.8333
ODD+game_stuff,Llama-3.3-70B,run_18.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_19.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_20.md,6,0,0,1.0000,1.0000
ODD+game_stuff,Llama-3.3-70B,run_21.md,6,0,0,1.0000,1.0000
