Experiment,Model,Run,AS_Index,Line,Title,Matched_GT,Decision,Reason,Has_Payoff_Evidence
ODD-only,DeepSeek-V4-Pro,run_01.md,1,3,Queue Order Compliance,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1
ODD-only,DeepSeek-V4-Pro,run_01.md,2,16,Post‑Charging Bay Release,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_01.md,3,29,Rule Enforcement,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_01.md,4,42,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,FP-duplicate,duplicate generated AS for AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_01.md,5,55,Complaint and Response,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_01.md,6,68,Resident vs Non‑resident Priority Claim,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_01.md,7,81,Capacity Investment,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1
ODD-only,DeepSeek-V4-Pro,run_01.md,8,94,Maintenance Reporting,AS5: Formal complaint and enforcement coordination between user and management,FP-duplicate,duplicate generated AS for AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_02.md,1,3,Queue Jumping,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_02.md,2,16,Charger Overstay,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_02.md,3,29,Queue Rule Enforcement,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_02.md,4,42,Collective Complaint,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_02.md,5,55,Resident Discount Entitlement,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_02.md,6,68,Capacity Investment,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_02.md,7,81,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_02.md,8,94,Off-Peak Charging Timing,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_03.md,1,3,Queue Order Compliance,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1
ODD-only,DeepSeek-V4-Pro,run_03.md,2,12,Overstaying after Charging,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_03.md,3,21,Rule Enforcement,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_03.md,4,30,Resident Priority Claim,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_03.md,5,39,Complaint about Violations,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_03.md,6,48,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_03.md,7,57,Capacity Investment,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_03.md,8,66,Off‑peak Charging Coordination,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_03.md,9,75,Reservation vs Walk‑in,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_03.md,10,84,No‑show Penalty,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_04.md,1,3,Queue Order Compliance,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_04.md,2,16,Post-Charging Move‑out Promptness,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_04.md,3,29,Rule Enforcement vs. Violation,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_04.md,4,42,Resident Discount Entitlement,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_04.md,5,55,Complaint vs. Silence,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_04.md,6,68,Reservation vs. Walk‑up,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_04.md,7,81,Capacity Investment,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_05.md,1,7,Queue Order Compliance,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_05.md,2,21,Charger Release,AS6: Shared charger-occupancy common-pool congestion between EV users,TP,generated AS matches AS6: Shared charger-occupancy common-pool congestion between EV users,1
ODD-only,DeepSeek-V4-Pro,run_05.md,3,35,Rule Enforcement,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_05.md,4,49,Complaint Behaviour,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_05.md,5,63,Resident vs. Non‑resident Priority,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_05.md,6,77,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_05.md,7,91,Capacity Governance,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1
ODD-only,DeepSeek-V4-Pro,run_06.md,1,3,Queue Order Compliance,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1
ODD-only,DeepSeek-V4-Pro,run_06.md,2,17,Charger Move-out Compliance,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_06.md,3,31,Rule Enforcement,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_06.md,4,45,Resident vs Non-resident Priority,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_06.md,5,59,Informal Favor Request,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_06.md,6,73,Reporting a Violation,AS5: Formal complaint and enforcement coordination between user and management,FP-duplicate,duplicate generated AS for AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_06.md,7,87,Reservation Reliability,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_07.md,1,1,Queue Jumping Dilemma,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_08.md,1,3,Queue Order Compliance,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1
ODD-only,DeepSeek-V4-Pro,run_08.md,2,17,Overstaying Dilemma,AS1: Queue-order and prompt move-out compliance between EV users,FP-duplicate,duplicate generated AS for AS1: Queue-order and prompt move-out compliance between EV users,1
ODD-only,DeepSeek-V4-Pro,run_08.md,3,31,Rule Enforcement (Inspection Game),AS1: Queue-order and prompt move-out compliance between EV users,FP-duplicate,duplicate generated AS for AS1: Queue-order and prompt move-out compliance between EV users,1
ODD-only,DeepSeek-V4-Pro,run_08.md,4,45,Complaint Filing,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_08.md,5,59,Resident Priority Claim,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_08.md,6,73,Capacity Investment,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1
ODD-only,DeepSeek-V4-Pro,run_08.md,7,87,Staff Favoritism,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_09.md,1,3,Queue Ordering Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_09.md,2,17,Overstay Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_09.md,3,31,Enforcement Inspection Game,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_09.md,4,45,Resident vs Non-resident Priority Claim,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_09.md,5,59,Complaint Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_09.md,6,73,Off-peak Charging Coordination,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_09.md,7,87,Capacity Expansion Pressure,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_09.md,8,101,Informal Favoritism,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_09.md,9,115,Maintenance Reporting,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_09.md,10,129,Reservation vs Walk-in Slot Competition,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_10.md,1,25,Queue Entry Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_10.md,2,38,Bay Release Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_10.md,3,51,Enforcement Dilemma,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_10.md,4,64,Reporting Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_10.md,5,77,Resident Priority Claim,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_10.md,6,90,Reservation Strategy,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_10.md,7,103,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_10.md,8,116,Maintenance Effort,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_10.md,9,129,Capacity Expansion,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_10.md,10,142,Complaint Feedback,AS5: Formal complaint and enforcement coordination between user and management,FP-duplicate,duplicate generated AS for AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_11.md,1,3,Queue Compliance Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_11.md,2,15,Charger Overstay Conflict,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_11.md,3,27,Enforcement Inspection,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_11.md,4,39,Resident Priority Contest,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_11.md,5,51,Peer Reporting Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_11.md,6,63,Capacity Investment Assurance,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_12.md,1,10,Queue Ordering Dilemma,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1
ODD-only,DeepSeek-V4-Pro,run_12.md,2,20,Bay Release Conflict,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_12.md,3,30,Enforcement Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_12.md,4,40,Resident Priority Conflict,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_12.md,5,50,Complaint Dilemma,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_12.md,6,60,Capacity Expansion Lobbying,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_13.md,1,3,Queue Order Compliance,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_13.md,2,15,Post-Charging Bay Release,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1
ODD-only,DeepSeek-V4-Pro,run_13.md,3,27,Rule Enforcement Interaction,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_13.md,4,39,Complaint Reporting Dilemma,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_13.md,5,51,Resident Priority Conflict,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_13.md,6,63,Off-peak Charging Coordination,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,1,203,Queue Order Compliance (User vs. User),None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,2,215,Overstaying After Charging (Current User vs. Next User),AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_14.md,3,227,Staff Enforcement of Queue Rules (Staff vs. User),None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,4,237,Resident vs. Non-resident Priority Claim,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,5,247,Complaint Dilemma (User vs. User),None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,6,257,Informal Priority Request (User vs. Staff),AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_14.md,7,267,Reservation vs. Walk-in (User vs. User),None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,8,282,Capacity Expansion (Management vs. Representative User),None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,9,290,Maintenance Responsiveness (Staff vs. User),AS5: Formal complaint and enforcement coordination between user and management,FP-duplicate,duplicate generated AS for AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_14.md,10,300,Off-peak Coordination (User vs. User),AS4: Informal priority exchange between EV user and parking staff,FP-duplicate,duplicate generated AS for AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_14.md,11,330,Queue Order Compliance,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,12,340,Overstaying After Charging,AS5: Formal complaint and enforcement coordination between user and management,FP-duplicate,duplicate generated AS for AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_14.md,13,350,Staff Enforcement of Queue Rules,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,14,360,Resident vs. Non-resident Priority Claim,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,15,370,Complaint Dilemma Among Users,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,16,380,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,FP-duplicate,duplicate generated AS for AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_14.md,17,390,Reservation Commitment,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,18,400,Capacity Investment,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_14.md,19,410,Maintenance Responsiveness,AS5: Formal complaint and enforcement coordination between user and management,FP-duplicate,duplicate generated AS for AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_14.md,20,420,Off-peak Coordination,AS4: Informal priority exchange between EV user and parking staff,FP-duplicate,duplicate generated AS for AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_14.md,21,503,Action Situation X: [Title],AS4: Informal priority exchange between EV user and parking staff,FP-duplicate,duplicate generated AS for AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_15.md,1,1,Queue Order Compliance (User vs. User),AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_16.md,1,3,Queue Order Compliance,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1
ODD-only,DeepSeek-V4-Pro,run_16.md,2,16,Charger Bay Overstay,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_16.md,3,29,Rule Enforcement,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_16.md,4,42,Resident Priority Claim,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_16.md,5,55,Complaint Filing,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_17.md,1,3,Queue Jumping Game,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_17.md,2,16,Charger Overstay Game,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_17.md,3,29,Rule Enforcement Game,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_17.md,4,42,Resident Priority Game,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_17.md,5,55,Informal Favor Game,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD-only,DeepSeek-V4-Pro,run_17.md,6,68,Complaint Game,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD-only,DeepSeek-V4-Pro,run_17.md,7,81,Capacity Expansion Game,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_17.md,8,94,Off-Peak Charging Game,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD-only,DeepSeek-V4-Pro,run_18.md,1,1,Queue Order Compliance,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
