Experiment,Model,Run,TP,FN,FP,Precision,Recall
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,3,3,5,0.3750,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,3,3,4,0.4286,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_03.md,1,5,0,1.0000,0.1667
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,4,2,4,0.5000,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,2,4,6,0.2500,0.3333
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,4,2,2,0.6667,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,4,2,3,0.5714,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,4,2,3,0.5714,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,3,3,5,0.3750,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,3,3,6,0.3333,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,5,1,5,0.5000,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,4,2,4,0.5000,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_13.md,3,3,5,0.3750,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_14.md,3,3,3,0.5000,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_15.md,2,4,5,0.2857,0.3333
ODD+game_stuff,DeepSeek-V4-Pro,run_16.md,3,3,27,0.1000,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_17.md,3,3,7,0.3000,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_18.md,5,1,2,0.7143,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_19.md,2,4,3,0.4000,0.3333
ODD+game_stuff,DeepSeek-V4-Pro,run_20.md,1,5,0,1.0000,0.1667
ODD+game_stuff,DeepSeek-V4-Pro,run_21.md,1,5,8,0.1111,0.1667
ODD+game_stuff,DeepSeek-V4-Pro,run_22.md,1,5,0,1.0000,0.1667
ODD+game_stuff,DeepSeek-V4-Pro,run_23.md,4,2,23,0.1481,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_24.md,4,2,3,0.5714,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_25.md,5,1,5,0.5000,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_26.md,3,3,5,0.3750,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_27.md,3,3,5,0.3750,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_28.md,1,5,0,1.0000,0.1667
ODD+game_stuff,DeepSeek-V4-Pro,run_29.md,3,3,4,0.4286,0.5000
ODD+game_stuff,DeepSeek-V4-Pro,run_30.md,3,3,4,0.4286,0.5000
ODD+game_stuff,Llama-3.3-70B,run_01.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Llama-3.3-70B,run_02.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Llama-3.3-70B,run_03.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Llama-3.3-70B,run_04.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_05.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_06.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_07.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_08.md,4,2,1,0.8000,0.6667
ODD+game_stuff,Llama-3.3-70B,run_09.md,3,3,1,0.7500,0.5000
ODD+game_stuff,Llama-3.3-70B,run_10.md,1,5,3,0.2500,0.1667
ODD+game_stuff,Llama-3.3-70B,run_11.md,2,4,2,0.5000,0.3333
ODD+game_stuff,Llama-3.3-70B,run_12.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_13.md,1,5,3,0.2500,0.1667
ODD+game_stuff,Llama-3.3-70B,run_14.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_15.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_16.md,4,2,1,0.8000,0.6667
ODD+game_stuff,Llama-3.3-70B,run_17.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Llama-3.3-70B,run_18.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_19.md,2,4,2,0.5000,0.3333
ODD+game_stuff,Llama-3.3-70B,run_20.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_21.md,2,4,2,0.5000,0.3333
ODD+game_stuff,Llama-3.3-70B,run_22.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_23.md,4,2,1,0.8000,0.6667
ODD+game_stuff,Llama-3.3-70B,run_24.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_25.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Llama-3.3-70B,run_26.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_27.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_28.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Llama-3.3-70B,run_29.md,1,5,0,1.0000,0.1667
ODD+game_stuff,Llama-3.3-70B,run_30.md,2,4,3,0.4000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_01.md,2,4,4,0.3333,0.3333
ODD+game_stuff,Qwen2.5-7B,run_02.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Qwen2.5-7B,run_03.md,2,4,8,0.2000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_04.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Qwen2.5-7B,run_05.md,2,4,3,0.4000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_06.md,2,4,2,0.5000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_07.md,1,5,4,0.2000,0.1667
ODD+game_stuff,Qwen2.5-7B,run_08.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Qwen2.5-7B,run_09.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Qwen2.5-7B,run_10.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Qwen2.5-7B,run_11.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Qwen2.5-7B,run_12.md,2,4,3,0.4000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_13.md,4,2,6,0.4000,0.6667
ODD+game_stuff,Qwen2.5-7B,run_14.md,4,2,6,0.4000,0.6667
ODD+game_stuff,Qwen2.5-7B,run_15.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Qwen2.5-7B,run_16.md,4,2,1,0.8000,0.6667
ODD+game_stuff,Qwen2.5-7B,run_17.md,3,3,2,0.6000,0.5000
ODD+game_stuff,Qwen2.5-7B,run_18.md,1,5,3,0.2500,0.1667
ODD+game_stuff,Qwen2.5-7B,run_19.md,2,4,3,0.4000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_20.md,4,2,6,0.4000,0.6667
ODD+game_stuff,Qwen2.5-7B,run_21.md,2,4,2,0.5000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_22.md,3,3,1,0.7500,0.5000
ODD+game_stuff,Qwen2.5-7B,run_23.md,2,4,2,0.5000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_24.md,4,2,6,0.4000,0.6667
ODD+game_stuff,Qwen2.5-7B,run_25.md,4,2,1,0.8000,0.6667
ODD+game_stuff,Qwen2.5-7B,run_26.md,2,4,3,0.4000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_27.md,2,4,8,0.2000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_28.md,3,3,4,0.4286,0.5000
ODD+game_stuff,Qwen2.5-7B,run_29.md,2,4,2,0.5000,0.3333
ODD+game_stuff,Qwen2.5-7B,run_30.md,3,3,7,0.3000,0.5000
