Experiment,Model,Run,TP,FN,FP,Precision,Recall
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,5,1,0,1.0000,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,4,2,1,0.8000,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_03.md,4,2,1,0.8000,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,5,1,1,0.8333,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,5,1,1,0.8333,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,5,1,2,0.7143,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,4,2,1,0.8000,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,5,1,1,0.8333,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,4,2,2,0.6667,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,5,1,2,0.7143,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,4,2,1,0.8000,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,5,1,1,0.8333,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_13.md,5,1,2,0.7143,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_14.md,5,1,0,1.0000,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_15.md,5,1,0,1.0000,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_16.md,5,1,0,1.0000,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_17.md,5,1,1,0.8333,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_18.md,4,2,1,0.8000,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_19.md,5,1,0,1.0000,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_20.md,5,1,2,0.7143,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_21.md,4,2,1,0.8000,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_22.md,4,2,1,0.8000,0.6667
ODD+game_stuff,DeepSeek-V4-Pro,run_23.md,5,1,1,0.8333,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_24.md,5,1,2,0.7143,0.8333
ODD+game_stuff,DeepSeek-V4-Pro,run_25.md,5,1,1,0.8333,0.8333
