Experiment,Model,Run,AS_Index,Line,Title,Matched_GT,Decision,Reason,Has_Payoff_Evidence
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,1,3,Queue Bypassing Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,2,14,Move‑out Promptness Dilemma,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,3,25,Staff Enforcement Game,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,4,36,Informal Priority Game,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,5,47,Resident vs Non‑resident Priority Game,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,6,58,Reporting Dilemma,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,7,69,Capacity Expansion Collective Action,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,8,80,Reservation vs Live Queue Game,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,1,3,Queue Order Compliance,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,2,16,Post-Charging Bay Release,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,3,29,Rule Enforcement (Staff vs. User),None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,4,42,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,5,55,Violation Reporting,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,6,68,Charger Capacity Investment,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,7,81,Resident vs. Non-resident Access Norm,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1
ODD+game_stuff,DeepSeek-V4-Pro,run_03.md,1,1,Queue Order Compliance Dilemma,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,1,3,Queue Order Compliance,AS1: Queue-order and prompt move-out compliance between EV users,TP,generated AS matches AS1: Queue-order and prompt move-out compliance between EV users,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,2,15,Move‑out Promptness,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,3,27,Staff Enforcement vs. User Compliance,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,4,39,Informal Favor Seeking,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,5,51,Resident vs. Non‑resident Priority,None,FP-wrong,generated AS is not one of the scenario-file correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,6,63,Capacity Expansion Funding,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,7,75,Fault Reporting,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1
