Case,Condition,Model,Run_Count,Expected_Runs,Missing_Runs,Duplicate_Run_Count,Status
EV-parking,ODD+game,DeepSeek-V4-Pro,30,30,,0,Complete
EV-parking,ODD+game,Llama-3.3-70B,30,30,,0,Complete
EV-parking,ODD+game,Qwen2.5-7B,30,30,,0,Complete
EV-parking,ODD-only,DeepSeek-V4-Pro,30,30,,0,Complete
EV-parking,ODD-only,Llama-3.3-70B,30,30,,0,Complete
EV-parking,ODD-only,Qwen2.5-7B,30,30,,0,Complete
Electricity,ODD+game,DeepSeek-R1,30,30,,0,Complete
Electricity,ODD+game,DeepSeek-V4-Pro,30,30,,0,Complete
Electricity,ODD+game,Llama-3.3-70B,30,30,,0,Complete
Electricity,ODD+game,Qwen2.5-7B,30,30,,0,Complete
Electricity,ODD-only,DeepSeek-R1,30,30,,0,Complete
Electricity,ODD-only,DeepSeek-V4-Pro,30,30,,0,Complete
Electricity,ODD-only,Llama-3.3-70B,30,30,,0,Complete
Electricity,ODD-only,Qwen2.5-7B,30,30,,0,Complete
Water-use,ODD+game,DeepSeek-R1,30,30,,0,Complete
Water-use,ODD+game,DeepSeek-V4-Pro,30,30,,0,Complete
Water-use,ODD+game,Llama-3.3-70B,30,30,,0,Complete
Water-use,ODD+game,Qwen2.5-7B,30,30,,0,Complete
Water-use,ODD-only,DeepSeek-R1,30,30,,0,Complete
Water-use,ODD-only,DeepSeek-V4-Pro,30,30,,0,Complete
Water-use,ODD-only,Llama-3.3-70B,30,30,,0,Complete
Water-use,ODD-only,Qwen2.5-7B,30,30,,0,Complete
