Experiment,Model,Run,AS_Index,Line,Title,Matched_GT,Decision,Reason,Has_Payoff_Evidence,Case,Condition,Source,Has_Representation_Evidence
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,1,3,Queue Bypassing Dilemma,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,2,14,Move‑out Promptness Dilemma,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,3,25,Staff Enforcement Game,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,4,36,Informal Priority Game,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,5,47,Resident vs Non‑resident Priority Game,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,6,58,Reporting Dilemma,AS5: Formal complaint and enforcement coordination between user and management,TP,generated AS matches AS5: Formal complaint and enforcement coordination between user and management,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,7,69,Capacity Expansion Collective Action,AS3: Shared charger-capacity contribution dilemma among residents,TP,generated AS matches AS3: Shared charger-capacity contribution dilemma among residents,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,8,80,Reservation vs Live Queue Game,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,1,3,Queue Order Compliance,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,2,16,Post-Charging Bay Release,,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,3,29,Rule Enforcement (Staff vs. User),,FP-wrong,generated AS is not one of the scenario-file correct ASs,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,4,42,Informal Priority Request,AS4: Informal priority exchange between EV user and parking staff,TP,generated AS matches AS4: Informal priority exchange between EV user and parking staff,1.0,EV-parking,ODD+game,ODD_EV-parking/Batch_30Runs/EVParking_evaluation_as_level_ODD+game_stuff.csv,
