Experiment,Model,Run,TP,FN,FP,Precision,Recall
ODD-only,DeepSeek-V4-Pro,run_01.md,4,2,4,0.5000,0.6667
ODD-only,DeepSeek-V4-Pro,run_02.md,2,4,6,0.2500,0.3333
ODD-only,DeepSeek-V4-Pro,run_03.md,3,3,7,0.3000,0.5000
ODD-only,DeepSeek-V4-Pro,run_04.md,1,5,6,0.1429,0.1667
ODD-only,DeepSeek-V4-Pro,run_05.md,4,2,3,0.5714,0.6667
ODD-only,DeepSeek-V4-Pro,run_06.md,3,3,4,0.4286,0.5000
ODD-only,DeepSeek-V4-Pro,run_07.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_08.md,4,2,3,0.5714,0.6667
ODD-only,DeepSeek-V4-Pro,run_09.md,2,4,8,0.2000,0.3333
ODD-only,DeepSeek-V4-Pro,run_10.md,2,4,8,0.2000,0.3333
ODD-only,DeepSeek-V4-Pro,run_11.md,0,6,6,0.0000,0.0000
ODD-only,DeepSeek-V4-Pro,run_12.md,2,4,4,0.3333,0.3333
ODD-only,DeepSeek-V4-Pro,run_13.md,2,4,4,0.3333,0.3333
ODD-only,DeepSeek-V4-Pro,run_14.md,2,4,19,0.0952,0.3333
ODD-only,DeepSeek-V4-Pro,run_15.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_16.md,2,4,3,0.4000,0.3333
ODD-only,DeepSeek-V4-Pro,run_17.md,2,4,6,0.2500,0.3333
ODD-only,DeepSeek-V4-Pro,run_18.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_19.md,2,4,3,0.4000,0.3333
ODD-only,DeepSeek-V4-Pro,run_20.md,2,4,6,0.2500,0.3333
ODD-only,DeepSeek-V4-Pro,run_21.md,2,4,6,0.2500,0.3333
ODD-only,DeepSeek-V4-Pro,run_22.md,1,5,5,0.1667,0.1667
ODD-only,DeepSeek-V4-Pro,run_23.md,2,4,5,0.2857,0.3333
ODD-only,DeepSeek-V4-Pro,run_24.md,3,3,4,0.4286,0.5000
ODD-only,DeepSeek-V4-Pro,run_25.md,4,2,4,0.5000,0.6667
ODD-only,DeepSeek-V4-Pro,run_26.md,2,4,5,0.2857,0.3333
ODD-only,DeepSeek-V4-Pro,run_27.md,2,4,8,0.2000,0.3333
ODD-only,DeepSeek-V4-Pro,run_28.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_29.md,3,3,4,0.4286,0.5000
ODD-only,DeepSeek-V4-Pro,run_30.md,4,2,2,0.6667,0.6667
ODD-only,Llama-3.3-70B,run_01.md,1,5,3,0.2500,0.1667
ODD-only,Llama-3.3-70B,run_02.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_03.md,2,4,2,0.5000,0.3333
ODD-only,Llama-3.3-70B,run_04.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_05.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_06.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_07.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_08.md,1,5,0,1.0000,0.1667
ODD-only,Llama-3.3-70B,run_09.md,0,6,4,0.0000,0.0000
ODD-only,Llama-3.3-70B,run_10.md,3,3,1,0.7500,0.5000
ODD-only,Llama-3.3-70B,run_11.md,1,5,3,0.2500,0.1667
