Experiment,Model,Run,AS_Index,Line,Title,Matched_GT,Decision,Reason,Has_Representation_Evidence
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,1,3,Capacitor Adoption Coordination among Farmers on a Transformer,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,2,13,Transformer Capacity Contribution (Free‑Rider Problem),AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,3,23,Farmer–Staff Collusion (Informal Exchange),AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,4,33,Staff Capacity Investment and Farmer Regularisation,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_01.md,5,45,Groundwater Extraction Dilemma,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,1,3,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,2,16,Transformer Capacity Contribution (Formal Connection vs. Free‑Riding),AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,3,28,Farmer–Staff Collusion (Informal Exchange),AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,4,40,Staff Investment in Capacity for Tied Farmer (Regularisation Offer),AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_02.md,5,55,Groundwater Extraction (Common‑Pool Resource),AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_03.md,1,7,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_03.md,2,23,Connection Formalization and Capacity Contribution,AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_03.md,3,39,Farmer–Staff Informal Exchange (Collusion),AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_03.md,4,55,Groundwater Extraction Restraint,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_03.md,5,71,Staff Capacity Investment for Tied Farmers (Sequential),AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,1,3,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,2,20,Groundwater Extraction Restraint,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,3,36,Collusion Tie Formation,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,4,53,Transformer Authorization (Capacity Contribution),AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,5,76,Staff Capacity Investment for Tied Farmers,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_04.md,6,99,Connection and Enforcement Game,None,FP-wrong,generated AS is not one of the six confirmed correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,1,3,Capacitor Adoption Coordination among Farmers Sharing a Transformer,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,2,17,Transformer Capacity Contribution and Free‑Riding,AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,3,31,Groundwater Extraction Restraint,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,4,45,Farmer–Staff Collusion Tie Formation,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,5,59,Staff Investment in Transformer Capacity for Tied Farmers (Sequential),AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_05.md,6,77,Staff Enforcement and Farmer Compliance,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,FP-duplicate,duplicate generated AS for AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,1,3,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,2,17,Pump‑Set Quality Choice,None,FP-wrong,generated AS is not one of the six confirmed correct ASs,1
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,3,31,Formal Connection Authorisation (Sequential),AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,4,52,Farmer–Staff Collusion Tie Formation,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,5,66,Staff Investment in Transformer Capacity (Sequential Trust Game),AS4: Mutual-exchange coordination game between farmer and sub-station staff,FP-duplicate,duplicate generated AS for AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,6,84,Groundwater Extraction Restraint,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_06.md,7,98,Transformer Capacity Contribution (Public Goods),AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,1,3,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,2,23,Transformer Capacity Contribution / Formal Connection,AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,3,43,Farmer–Staff Collusion,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,4,63,Groundwater Extraction Restraint,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_07.md,5,83,Staff Offer of Regularisation to Free‑rider,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,1,7,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,2,23,Transformer Capacity Contribution,AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,3,39,Collusive Tie Formation (Farmer–Staff Informal Exchange),AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,4,55,Staff Capacity Investment and Regularisation (Sequential),AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,5,74,Groundwater Extraction Restraint,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_08.md,6,90,Connection Authorisation and Enforcement,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,FP-duplicate,duplicate generated AS for AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,1,3,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,2,15,Transformer Capacity Contribution (Formal Connection),AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,3,27,Collusion Tie Formation,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,4,39,Staff Investment in Capacity for Tied Farmer,AS4: Mutual-exchange coordination game between farmer and sub-station staff,FP-duplicate,duplicate generated AS for AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,5,55,Authorization and Enforcement,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_09.md,6,68,Groundwater Extraction,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,1,3,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,2,16,Transformer Capacity Contribution,AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,3,29,Groundwater Extraction Restraint,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,4,42,Farmer–Staff Collusion,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,5,55,Connection Authorization and Enforcement,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,6,76,Staff Investment in Capacity for a Tied Farmer,AS4: Mutual-exchange coordination game between farmer and sub-station staff,FP-duplicate,duplicate generated AS for AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_10.md,7,94,Asymmetric Transformer Authorization,AS3: Asymmetric transformer-capacity authorization dilemma between farmers,FP-duplicate,duplicate generated AS for AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,1,3,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,2,18,Groundwater Extraction Dilemma,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,3,33,Farmer–Staff Collusion Tie Formation,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,4,48,Connection Authorisation and Enforcement,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_11.md,5,63,Staff Investment in Capacity for a Tied Farmer (Sequential),AS4: Mutual-exchange coordination game between farmer and sub-station staff,FP-duplicate,duplicate generated AS for AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,1,3,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,2,20,Transformer Capacity Contribution,AS3: Asymmetric transformer-capacity authorization dilemma between farmers,TP,generated AS matches AS3: Asymmetric transformer-capacity authorization dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,3,37,Farmer–Staff Collusion Tie Formation,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,4,54,Farmer–Staff Enforcement/Compliance,AS4: Mutual-exchange coordination game between farmer and sub-station staff,FP-duplicate,duplicate generated AS for AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,5,71,Staff Investment in Capacity for Tied Farmer,AS5: Authorization-and-investment asymmetric coordination between farmer and staff,TP,generated AS matches AS5: Authorization-and-investment asymmetric coordination between farmer and staff,1
ODD+game_stuff,DeepSeek-V4-Pro,run_12.md,6,89,Groundwater Extraction Restraint,AS6: Groundwater-extraction prisoner's dilemma between farmers,TP,generated AS matches AS6: Groundwater-extraction prisoner's dilemma between farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_13.md,1,3,Capacitor Adoption Coordination,AS1: Capacitor-adoption assurance game between neighbouring farmers,TP,generated AS matches AS1: Capacitor-adoption assurance game between neighbouring farmers,1
ODD+game_stuff,DeepSeek-V4-Pro,run_13.md,2,17,Farmer–Staff Collusion Tie Formation,AS4: Mutual-exchange coordination game between farmer and sub-station staff,TP,generated AS matches AS4: Mutual-exchange coordination game between farmer and sub-station staff,1
